Id;Gênero;RendaFamiliar;EducacaoPaterna;PeriodoDeAula;FezAulaParticular;EstadoCivilDosPais;PraticaEsportes;FilhoMaisVelho;NumIrmaos;TransporteEscolar;HorasDeEstudo;notaDeMatematica;notaDePortugues;notaDeCiencias
92;masculino;grupo C;ensinao medio incompleto;matutino;nao;divorciado;eventualmente;nao;1;;< 5;68;77;69
93;feminino;grupo C;ensinao medio;vespertino;sim;casado;regularmente;nao;3;carro;> 10;45;46;52
94;masculino;grupo B;superior incompleto;matutino;nao;casado;regularmente;sim;4;carro;> 5 < 10;81;87;94
96;feminino;grupo B;some ensinao medio incompleto;matutino;sim;casado;regularmente;sim;5;onibus;> 5 < 10;63;65;61
97;feminino;;superior incompleto;matutino;sim;casado;nunca;sim;0;onibus;< 5;59;69;66
98;feminino;grupo D;superior incompleto;vespertino;nao;solteiro;regularmente;sim;2;;> 10;61;69;64
99;masculino;grupo D;superior completo;matutino;nao;casado;regularmente;sim;3;onibus;< 5;64;66;62
100;masculino;grupo B;superior incompleto;matutino;nao;casado;eventualmente;nao;7;onibus;> 5 < 10;79;67;67
101;feminino;grupo D;superior completo;matutino;sim;solteiro;eventualmente;nao;1;carro;> 5 < 10;68;74;74
102;masculino;grupo D;ensinao medio;matutino;nao;casado;regularmente;sim;3;onibus;> 5 < 10;87;92;91
103;masculino;grupo B;ensinao medio incompleto;matutino;sim;casado;regularmente;nao;3;onibus;> 5 < 10;61;44;48
104;feminino;;superior incompleto;matutino;sim;casado;regularmente;sim;1;onibus;> 10;100;88;94
105;feminino;grupo C;superior incompleto;matutino;nao;casado;eventualmente;sim;0;onibus;> 5 < 10;58;67;72
106;masculino;grupo D;mestrado;matutino;nao;casado;eventualmente;nao;3;carro;> 5 < 10;87;100;100
107;feminino;grupo E;;matutino;sim;solteiro;eventualmente;sim;0;onibus;> 5 < 10;66;63;64
108;feminino;grupo B;ensinao medio;vespertino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;52;76;70
109;feminino;grupo B;some ensinao medio incompleto;matutino;nao;solteiro;regularmente;nao;3;onibus;> 5 < 10;72;64;73
110;masculino;grupo D;ensinao medio;vespertino;sim;solteiro;eventualmente;sim;4;onibus;> 10;79;90;99
111;masculino;grupo C;ensinao medio incompleto;matutino;nao;solteiro;regularmente;nao;6;;> 5 < 10;63;55;50
112;feminino;grupo A;ensinao medio;matutino;nao;casado;eventualmente;sim;0;onibus;> 5 < 10;54;53;47
113;feminino;grupo D;superior incompleto;matutino;nao;casado;nunca;sim;1;onibus;< 5;47;56;51
114;masculino;grupo E;superior completo;matutino;sim;casado;regularmente;sim;3;onibus;< 5;98;99;100
115;feminino;grupo C;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;4;carro;> 5 < 10;84;77;74
116;feminino;grupo B;superior completo;vespertino;nao;solteiro;nunca;nao;1;onibus;> 5 < 10;72;83;79
117;feminino;grupo D;superior completo;matutino;nao;casado;nunca;nao;2;carro;> 5 < 10;75;80;77
118;feminino;grupo D;some ensinao medio incompleto;matutino;nao;solteiro;regularmente;sim;0;carro;> 10;54;64;63
119;feminino;grupo C;superior incompleto;matutino;nao;divorciado;eventualmente;nao;3;onibus;> 5 < 10;55;69;65
120;masculino;grupo C;superior completo;matutino;sim;casado;nunca;sim;1;onibus;> 5 < 10;76;90;86
121;feminino;grupo B;ensinao medio;matutino;sim;casado;eventualmente;sim;3;onibus;< 5;88;87;90
122;masculino;grupo C;superior incompleto;matutino;sim;solteiro;regularmente;sim;1;;> 5 < 10;90;94;95
123;masculino;grupo D;ensinao medio incompleto;vespertino;nao;casado;eventualmente;nao;3;carro;;63;57;56
124;feminino;grupo E;superior incompleto;matutino;nao;solteiro;regularmente;nao;3;onibus;< 5;82;79;73
125;masculino;grupo B;ensinao medio incompleto;matutino;nao;solteiro;nunca;sim;2;onibus;> 10;86;94;85
126;masculino;grupo B;;matutino;nao;casado;;nao;3;carro;> 5 < 10;72;68;67
127;masculino;grupo D;superior incompleto;matutino;;casado;regularmente;nao;3;onibus;< 5;64;76;74
128;feminino;grupo D;mestrado;matutino;nao;solteiro;nunca;sim;2;carro;< 5;77;81;72
129;masculino;grupo A;superior completo;matutino;nao;;regularmente;sim;0;onibus;> 5 < 10;52;49;52
130;masculino;grupo D;mestrado;matutino;nao;solteiro;eventualmente;nao;1;onibus;< 5;87;84;82
131;masculino;grupo C;some ensinao medio incompleto;vespertino;sim;solteiro;regularmente;sim;1;carro;< 5;52;36;40
132;feminino;;superior incompleto;vespertino;sim;casado;regularmente;sim;2;onibus;> 5 < 10;89;75;71
133;masculino;;superior incompleto;matutino;sim;casado;nunca;nao;6;;< 5;70;78;80
134;masculino;grupo D;superior completo;vespertino;sim;casado;eventualmente;sim;1;carro;> 10;76;80;76
135;masculino;grupo C;superior completo;matutino;nao;casado;eventualmente;sim;1;;< 5;56;54;47
136;masculino;grupo B;some ensinao medio incompleto;matutino;sim;divorciado;eventualmente;sim;1;carro;> 5 < 10;51;54;41
137;feminino;grupo E;ensinao medio incompleto;matutino;nao;divorciado;eventualmente;sim;0;onibus;< 5;67;54;54
138;masculino;grupo C;ensinao medio;matutino;;casado;eventualmente;sim;1;carro;> 5 < 10;59;66;67
139;feminino;grupo D;superior incompleto;matutino;sim;casado;eventualmente;sim;0;carro;> 10;73;61;70
140;feminino;grupo D;some ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;1;onibus;> 5 < 10;76;72;71
141;feminino;grupo C;superior incompleto;vespertino;nao;casado;regularmente;nao;2;carro;> 5 < 10;60;62;65
142;masculino;grupo E;superior incompleto;vespertino;sim;solteiro;regularmente;;1;carro;< 5;41;54;54
143;masculino;grupo A;ensinao medio incompleto;matutino;nao;solteiro;eventualmente;nao;1;onibus;> 5 < 10;57;43;47
144;feminino;grupo D;superior incompleto;matutino;nao;divorciado;eventualmente;sim;3;carro;> 10;90;74;79
145;feminino;grupo C;superior incompleto;vespertino;nao;solteiro;regularmente;sim;1;onibus;< 5;21;38;33
148;masculino;grupo D;superior completo;matutino;sim;casado;eventualmente;sim;1;carro;< 5;65;73;79
149;masculino;grupo E;ensinao medio;vespertino;sim;casado;regularmente;nao;3;carro;> 5 < 10;100;100;95
150;feminino;grupo A;some ensinao medio incompleto;matutino;sim;casado;eventualmente;nao;2;carro;> 5 < 10;62;67;69
152;masculino;grupo B;ensinao medio;matutino;sim;solteiro;eventualmente;sim;2;onibus;< 5;57;68;64
153;masculino;grupo D;superior completo;matutino;nao;casado;eventualmente;nao;1;;> 5 < 10;54;49;47
154;feminino;grupo D;some ensinao medio incompleto;matutino;nao;solteiro;nunca;nao;2;;< 5;58;65;58
155;feminino;grupo C;superior incompleto;matutino;sim;casado;regularmente;sim;3;onibus;< 5;69;88;88
156;masculino;grupo E;ensinao medio incompleto;vespertino;sim;casado;regularmente;sim;1;onibus;> 5 < 10;67;75;79
157;feminino;grupo B;;vespertino;nao;;eventualmente;sim;2;onibus;< 5;58;59;58
158;masculino;grupo B;ensinao medio;matutino;;divorciado;regularmente;sim;2;carro;> 5 < 10;62;87;89
159;masculino;grupo D;ensinao medio;vespertino;nao;casado;regularmente;nao;3;onibus;> 10;70;63;66
160;feminino;grupo B;ensinao medio;vespertino;sim;solteiro;eventualmente;sim;2;carro;> 5 < 10;82;78;74
161;masculino;grupo E;superior incompleto;vespertino;sim;casado;eventualmente;sim;3;onibus;> 5 < 10;75;88;85
162;masculino;grupo B;mestrado;vespertino;nao;solteiro;nunca;nao;2;onibus;> 5 < 10;48;53;52
163;feminino;grupo C;ensinao medio incompleto;matutino;nao;divorciado;eventualmente;sim;1;onibus;> 5 < 10;52;53;49
164;feminino;grupo E;mestrado;matutino;nao;casado;nunca;sim;3;carro;< 5;76;89;86
165;masculino;grupo C;superior completo;matutino;sim;casado;eventualmente;sim;0;onibus;> 5 < 10;96;100;100
166;feminino;grupo C;ensinao medio incompleto;vespertino;sim;solteiro;eventualmente;sim;5;carro;> 5 < 10;53;51;51
167;feminino;grupo B;mestrado;vespertino;sim;casado;regularmente;nao;1;carro;> 10;62;79;83
168;masculino;grupo B;ensinao medio incompleto;matutino;sim;casado;regularmente;sim;2;carro;> 5 < 10;70;84;79
170;masculino;grupo A;ensinao medio incompleto;matutino;sim;divorciado;regularmente;sim;5;onibus;> 10;76;75;77
171;feminino;grupo E;some ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;3;onibus;< 5;91;86;76
172;feminino;grupo D;superior incompleto;matutino;nao;solteiro;nunca;sim;3;onibus;> 5 < 10;76;84;78
173;feminino;grupo C;ensinao medio;matutino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;63;67;70
174;feminino;grupo C;superior completo;vespertino;sim;casado;eventualmente;nao;1;onibus;< 5;41;50;52
175;feminino;grupo C;mestrado;matutino;sim;divorciado;eventualmente;sim;1;onibus;> 5 < 10;81;92;89
176;feminino;grupo B;ensinao medio incompleto;vespertino;sim;casado;eventualmente;nao;2;onibus;< 5;44;53;56
177;feminino;grupo C;ensinao medio;matutino;sim;casado;regularmente;sim;;onibus;< 5;70;76;77
178;feminino;grupo B;mestrado;vespertino;sim;divorciado;regularmente;sim;2;onibus;> 5 < 10;54;72;65
179;masculino;grupo D;some ensinao medio incompleto;matutino;sim;divorciado;regularmente;sim;0;onibus;> 5 < 10;99;100;100
180;feminino;grupo C;mestrado;vespertino;sim;solteiro;eventualmente;sim;2;carro;< 5;60;68;75
181;feminino;grupo C;superior incompleto;vespertino;nao;solteiro;eventualmente;sim;1;carro;> 5 < 10;46;64;66
182;feminino;grupo E;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;3;carro;;50;50;47
183;masculino;grupo D;ensinao medio;matutino;nao;solteiro;eventualmente;nao;;carro;< 5;63;67;68
185;masculino;grupo C;ensinao medio;vespertino;sim;casado;nunca;sim;5;carro;< 5;61;65;62
186;masculino;grupo E;ensinao medio incompleto;matutino;nao;casado;nunca;sim;1;onibus;< 5;75;73;62
187;masculino;grupo D;some ensinao medio incompleto;matutino;sim;casado;eventualmente;nao;4;carro;> 5 < 10;62;66;68
188;feminino;grupo B;some ensinao medio incompleto;vespertino;nao;casado;regularmente;nao;3;onibus;< 5;47;51;45
189;feminino;grupo C;superior completo;matutino;nao;solteiro;eventualmente;sim;1;onibus;< 5;74;86;85
190;masculino;grupo E;ensinao medio;matutino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;66;65;69
191;feminino;grupo D;superior incompleto;matutino;sim;casado;eventualmente;nao;2;onibus;< 5;73;81;77
192;masculino;grupo B;some ensinao medio incompleto;matutino;nao;solteiro;eventualmente;nao;3;carro;;62;64;66
193;feminino;grupo D;superior incompleto;matutino;sim;casado;regularmente;sim;4;;;79;62;63
194;masculino;grupo C;mestrado;matutino;sim;;regularmente;sim;1;onibus;< 5;69;85;87
195;masculino;grupo D;ensinao medio;matutino;nao;casado;regularmente;nao;4;onibus;< 5;60;54;52
196;masculino;grupo C;;vespertino;sim;casado;nunca;sim;1;onibus;> 5 < 10;57;67;63
197;feminino;grupo E;ensinao medio incompleto;vespertino;nao;casado;;nao;7;carro;> 10;56;56;52
198;feminino;grupo B;superior incompleto;vespertino;nao;viuvo;regularmente;sim;3;;> 10;47;54;57
199;feminino;grupo B;superior completo;vespertino;;casado;regularmente;sim;3;carro;> 5 < 10;80;80;77
200;feminino;grupo C;ensinao medio;matutino;sim;solteiro;regularmente;nao;1;carro;< 5;66;83;86
201;masculino;grupo D;superior incompleto;vespertino;nao;divorciado;eventualmente;sim;3;onibus;< 5;63;79;75
202;feminino;grupo C;ensinao medio;matutino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;69;77;69
203;masculino;;ensinao medio;matutino;nao;;regularmente;sim;2;onibus;> 5 < 10;58;70;69
204;masculino;grupo C;superior incompleto;matutino;nao;solteiro;regularmente;sim;1;;< 5;58;40;42
205;masculino;grupo D;some ensinao medio incompleto;matutino;sim;casado;;sim;;onibus;< 5;71;69;76
206;masculino;grupo E;superior completo;matutino;nao;casado;regularmente;sim;4;onibus;> 5 < 10;84;62;63
207;feminino;grupo E;ensinao medio incompleto;matutino;sim;casado;regularmente;nao;2;onibus;> 5 < 10;83;81;77
208;feminino;grupo B;superior incompleto;vespertino;nao;casado;regularmente;sim;1;carro;< 5;73;80;76
209;masculino;grupo B;superior incompleto;vespertino;;solteiro;eventualmente;nao;2;;;58;61;66
210;masculino;grupo D;some ensinao medio incompleto;vespertino;sim;viuvo;eventualmente;sim;3;onibus;< 5;77;77;77
211;feminino;grupo C;superior incompleto;vespertino;;casado;eventualmente;sim;3;onibus;> 5 < 10;35;28;27
212;masculino;grupo C;ensinao medio incompleto;vespertino;nao;divorciado;eventualmente;sim;2;onibus;> 5 < 10;42;62;60
213;masculino;grupo C;ensinao medio;vespertino;sim;solteiro;regularmente;nao;1;onibus;> 5 < 10;61;51;57
214;masculino;grupo E;ensinao medio incompleto;matutino;;casado;eventualmente;sim;1;carro;> 5 < 10;87;91;81
215;feminino;grupo B;some ensinao medio incompleto;matutino;sim;;regularmente;nao;2;carro;> 5 < 10;86;84;76
216;feminino;grupo E;ensinao medio;vespertino;sim;casado;eventualmente;sim;3;onibus;< 5;80;84;86
217;masculino;grupo C;ensinao medio incompleto;vespertino;;casado;regularmente;nao;3;;< 5;33;41;39
218;masculino;grupo B;ensinao medio incompleto;vespertino;nao;casado;eventualmente;nao;2;onibus;< 5;64;75;68
219;feminino;grupo B;some ensinao medio incompleto;matutino;sim;solteiro;nunca;nao;1;;> 5 < 10;59;55;54
220;masculino;grupo D;ensinao medio incompleto;matutino;sim;viuvo;regularmente;sim;4;onibus;> 5 < 10;57;69;75
221;feminino;grupo B;ensinao medio;matutino;nao;casado;eventualmente;sim;0;onibus;> 10;89;86;74
222;masculino;grupo C;some ensinao medio incompleto;vespertino;;divorciado;eventualmente;nao;3;;> 5 < 10;55;65;62
223;feminino;grupo D;some ensinao medio incompleto;matutino;nao;casado;regularmente;nao;3;onibus;> 5 < 10;88;81;76
224;feminino;grupo B;ensinao medio;matutino;sim;divorciado;regularmente;;3;onibus;> 10;55;67;76
225;feminino;grupo E;mestrado;vespertino;nao;casado;eventualmente;nao;;carro;< 5;43;55;52
226;masculino;grupo C;superior incompleto;matutino;nao;casado;eventualmente;sim;5;onibus;> 5 < 10;72;72;71
227;masculino;grupo D;ensinao medio incompleto;matutino;nao;solteiro;regularmente;sim;0;onibus;> 5 < 10;58;50;55
228;feminino;grupo A;;vespertino;nao;divorciado;eventualmente;nao;4;onibus;> 5 < 10;68;72;64
229;masculino;grupo C;superior incompleto;matutino;sim;casado;regularmente;sim;3;onibus;> 10;93;97;98
230;masculino;grupo D;superior incompleto;matutino;nao;casado;regularmente;sim;0;;> 5 < 10;78;64;67
231;feminino;grupo C;ensinao medio;matutino;nao;casado;regularmente;;1;carro;> 5 < 10;47;43;43
232;masculino;grupo B;superior completo;matutino;nao;casado;eventualmente;sim;2;onibus;> 5 < 10;67;86;83
233;masculino;grupo E;some ensinao medio incompleto;matutino;nao;divorciado;eventualmente;sim;3;onibus;> 10;94;88;79
234;masculino;grupo C;superior completo;matutino;sim;casado;eventualmente;nao;3;onibus;> 10;85;83;85
235;masculino;grupo D;ensinao medio;matutino;nao;casado;regularmente;nao;1;onibus;> 10;84;77;80
236;feminino;grupo D;superior completo;vespertino;nao;divorciado;regularmente;nao;2;onibus;< 5;62;65;67
237;masculino;grupo D;some ensinao medio incompleto;matutino;;casado;eventualmente;sim;4;onibus;< 5;62;59;72
238;masculino;grupo B;superior incompleto;matutino;nao;casado;regularmente;sim;2;carro;> 10;57;53;53
239;masculino;grupo C;ensinao medio;matutino;nao;;eventualmente;sim;1;carro;> 5 < 10;84;80;80
240;feminino;grupo D;ensinao medio incompleto;vespertino;sim;divorciado;;sim;1;carro;> 10;75;69;67
241;masculino;grupo E;superior completo;matutino;nao;solteiro;regularmente;nao;4;carro;> 5 < 10;82;84;85
243;masculino;grupo E;superior incompleto;matutino;;solteiro;regularmente;nao;2;onibus;< 5;58;50;43
244;masculino;grupo D;some ensinao medio incompleto;matutino;nao;divorciado;regularmente;sim;1;onibus;< 5;74;73;69
245;masculino;grupo C;ensinao medio;matutino;nao;casado;eventualmente;nao;3;carro;< 5;82;74;69
246;feminino;grupo E;ensinao medio;matutino;;casado;regularmente;nao;2;onibus;> 5 < 10;91;77;75
247;feminino;grupo B;ensinao medio incompleto;matutino;sim;solteiro;eventualmente;sim;1;carro;> 5 < 10;58;70;68
248;masculino;grupo B;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;2;carro;< 5;63;63;60
249;masculino;;ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;2;onibus;> 10;70;60;54
250;feminino;grupo A;some ensinao medio incompleto;matutino;sim;solteiro;eventualmente;sim;2;onibus;> 5 < 10;47;49;49
251;feminino;grupo D;superior incompleto;vespertino;nao;casado;regularmente;;4;onibus;< 5;70;82;83
252;masculino;grupo B;some ensinao medio incompleto;matutino;sim;solteiro;eventualmente;sim;3;carro;> 5 < 10;60;70;70
253;masculino;grupo D;mestrado;matutino;nao;casado;eventualmente;nao;3;onibus;;80;80;72
254;feminino;grupo D;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;0;carro;> 5 < 10;54;52;52
255;feminino;grupo E;superior incompleto;matutino;nao;solteiro;eventualmente;nao;1;onibus;> 5 < 10;62;73;70
256;masculino;grupo C;ensinao medio;vespertino;nao;solteiro;eventualmente;nao;5;carro;< 5;62;71;66
257;feminino;;ensinao medio;matutino;sim;casado;regularmente;;1;onibus;> 5 < 10;80;78;78
260;masculino;grupo C;some ensinao medio incompleto;vespertino;sim;casado;eventualmente;sim;1;carro;> 10;65;80;78
261;feminino;grupo C;superior incompleto;matutino;sim;casado;eventualmente;nao;2;onibus;> 5 < 10;79;79;78
262;feminino;grupo C;some ensinao medio incompleto;vespertino;nao;casado;regularmente;nao;2;carro;> 5 < 10;45;50;52
263;masculino;grupo E;ensinao medio incompleto;matutino;nao;solteiro;eventualmente;sim;1;carro;> 5 < 10;99;93;90
264;masculino;grupo D;ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;2;carro;> 5 < 10;76;73;68
